ID,author,author_id,year,title,booktitle/journal+editor+publisher,pages,type,note_lang,note_theme,pdf_link,url,DOI,ISBN/eISBN,annotator,,,,,
33,"Ландер, Юрий Александрович and Мороз, Георгий Алексеевич and Аркадьев, Петр Михайлович","lander-y, moroz-g, arkadiev-p",2015,Об исследовании бжедугского диалекта адыгейского языка,"Об исследовании бжедугского диалекта адыгейского языка // В кн. : Полевые исследования студентов РГГУ: Этнология, фольклористика, лингвистика. Вып. X. / Отв. ред.: Е. И. Пивовар. Под общ. ред.: П. М. Аркадьев, О. А. Казакевич, В. Л. Кляус, Н. А. Козлова, Ю. А. Ландер, Е. В. Левкиевская, А. Б. Мороз, Ю. В. Филиппов. М.: РГГУ, 2015. С.",183–201,Глава книги,адыгейский,"компьютерная лингвистика, экстралингивистическое",https://publications.hse.ru/pubs/share/folder/vssyzirler/180975465.pdf,https://publications.hse.ru/chapters/180974021,to_find,,Кумараге,,,,,
34,"Ландер, Юрий Александрович and Багирокова, Ирина Гаруновна and Мороз, Георгий Алексеевич","lander-y, bagirokova-i, moroz-g",2015,Понятие основы и морфологический анализ адыгейской словоформы,"IV Международный симпозиум лингвистов-кавказоведов. Вопросы структуры основы и корня иберийско-кавказских языков. / Отв. ред.: В. Шенгелиа. Тб.: [б.и.], 2015.",107–110,Тезисы,адыгейский,морфосинтаксис,https://publications.hse.ru/pubs/share/folder/t5ow5u6t0e/167391504.pdf,https://publications.hse.ru/view/167391516,to_find,,Кумараге,,,,,
35,"Lander, Yury and Arkadiev, Peter","lander-y, arkadiev-p",2013,Non-quantificational distributive quantifiers in Besleney Kabardian,Snippets. 2013. No. 27.,5–7,Статья,кабардинский,грамматическая семантика,https://publications.hse.ru/pubs/share/folder/wnzi1a8yt4/114132611.pdf,https://doi.org/10.7358/snip-2013-027-arka,10.7358/snip-2013-027-arka,,Кумараге,,,,,
36,"Lander, Yury and Bylinina, Lisa","lander-y, bylinina-l",2013,‘Than’ = ‘More’ + Exhaustivity: Evidence from Circassian,"Proceedings of the 19th Amsterdam Colloquium. / Ed. by M. Alone, M. Franke, F. Roelofsen. Amsterdam: [б.и.], 2013.",75–82,Глава книги,адыгейский,"грамматическая семантика, семантика",https://publications.hse.ru/pubs/share/folder/x62hgh3w8l/106224297.pdf,https://publications.hse.ru/chapters/106224483,to_find,,Кумараге,,,,,
37,"Ландер, Юрий Александрович and Аркадьев, Петр Михайлович","lander-y, arkadiev-p",2013,Некоторые сведения о морфологии бесленеевского диалекта кабардино-черкесского языка (уляпский говор),"Полевые исследования студентов РГГУ: Этнология, фольклористика, лингвистика, религиоведение. / Отв. ред.: Е. И. Пивовар. Под общ. ред.: П. М. Аркадьев, Л. Г. Жукова, О. А. Казакевич, В. Л. Кляус, Н. А. Козлова, Ю. А. Ландер, Н. В. Петров, С. С. Скорвид, Ю. В. Филиппов. Вып. VIII М.: РГГУ, 2013.",194–210,Глава книги,кабардинский,морфосинтаксис,https://publications.hse.ru/pubs/share/folder/e4tqr9an24/114507478.pdf,https://publications.hse.ru/chapters/114507541,to_find,,Кумараге,,,,,
38,"Ландер, Юрий Александрович and Аркадьев, Петр Михайлович","lander-y, arkadiev-p",2012,Бесленеевский диалект кабардино-черкесского языка и перспективы исследования уляпского говора,"Полевые исследования студентов РГГУ: Этнология, фольклористика, лингвистика, религиоведение. Вып. VII. / Науч. ред.: Д. П. Бак, В. В. Минаев. Под общ. ред.: Л. Г. Жукова, О. А. Казакевич, В. Л. Кляус, Н. А. Козлова, Ю. А. Ландер, А. Б. Мороз, Ю. В. Филиппов. М.: РГГУ, 2012.",176–192,Глава книги,кабардинский,"морфосинтаксис, фонетика/фонология, экстралингвистическое",https://publications.hse.ru/pubs/share/folder/ci3irk5kvm/117938791.pdf,https://publications.hse.ru/chapters/74693646,to_find,,Кумараге,,,,,
39,"Lander, Yury and Daniel, Michael","lander-y, daniel-m",2011,The Caucasian languages,"The Languages and Linguistics of Europe. A Comprehensive Guide. / Ed. by B. Kortmann, J. v. Auwera. Vol. 1 Berlin, Boston: De Gruyter Mouton, 2011.",125–157,Глава книги,"кабардинский, адыгейский, убыхский, абхазский, абазинский","лексика, морфосинтаксис, семантика, фонетика/фонология, экстралингвистическое",https://vk.com/doc278943367_481150693?hash=zNiHZ6PpRDCycMGioOezPdwJqM0qheaAkJulOQoomWT&dl=kdcb0U2gWOco0NLNzYQWNt7f0gu9vNd35mHZ3nmDTpk&api=1&no_preview=1,https://doi.org/10.1515/9783110220261,10.1515/9783110220261,978-3-11-022025-4,Кумараге,,,,,
40,"Ландер, Юрий Александрович and Аркадьев, Петр Михайлович","lander-y, arkadiev-p",2011,Адыгейская лингвистическая экспедиция 2010 г.: итоги и выводы,"Полевые исследования студентов РГГУ: Этнология, фольклористика, лингвистика, религиоведение. Вып. VI. / Отв. ред.: Д. П. Бак, В. В. Минаев. М.: РГГУ, 2011.",179–194,Глава книги,адыгейский,"морфосинтаксис, экстралингвистическое",https://publications.hse.ru/pubs/share/folder/jre2cyc54u/117939345.pdf,https://publications.hse.ru/chapters/73373935,to_find,,Кумараге,,,,,
41,"Ландер, Юрий Александрович and Меретукова, Зара Байзетовна","lander-y, meretukova-z",2011,"Семантическая сопряженность и атрибутивные конструкции (андийские языки, адыгейский язык)","Андийские языки среди языков народов Дагестана. Материалы научно-практической конференции языковедов (6-8 июня 2011 года). / Отв. ред.: П. А. Магомедова. Махачкала: Дагестанский государственный университет, 2011.",47–52,Глава книги,адыгейский,"морфосинтаксис, семантика",https://publications.hse.ru/pubs/share/folder/qbl6g42tn4/98557184.pdf,https://publications.hse.ru/chapters/98557207,to_find,,Кумараге,,,,,
42,"Ландер, Юрий Александрович",lander-y,2011,Синтаксические острова и относительные конструкции в северокавказских языках: предварительные наблюдения,"Когнитивная парадигма языкового сознания в современной лингвистике: Материалы Международной научной конференции 13-14 октября 2011 года. Майкоп: Издательство Адыгейского государственного университета, 2011.",101–106,Глава книги,адыгейский,морфосинтаксис,https://publications.hse.ru/pubs/share/folder/j3x4858l6k/98555808.pdf,https://publications.hse.ru/chapters/98555816,to_find,,Кумараге,,,,,
43,"Lander, Yury and Korotkova, Natalia","lander-y, korotkova-n",2010,Deriving affix ordering in polysynthesis: Evidence from Adyghe,Morphology. 2010. Vol. 20. No. 2.,299–319,Статья,адыгейский,морфосинтаксис,https://publications.hse.ru/pubs/share/folder/tnfueegnjj/122478041.pdf,https://doi.org/10.1007/s11525-010-9185-y,10.1007/s11525-010-9185-y,,Кумараге,,,,,
44,"Lander, Yury and Letuchiy, Alexander","lander-y, letuchiy-a",2010,Kinds of recursion in Adyghe morphology,"Recursion and human language. / Ed. by H. van der Hulst. Berlin, NY: De Gruyter Mouton, 2010. Ch. Part IV, 14.",263–284,Глава книги,адыгейский,"морфосинтаксис, семантика",https://publications.hse.ru/pubs/share/folder/se9bzgrf2f/66777356.pdf,https://doi.org/10.1515/9783110219258.263,10.1515/9783110219258.263,978-3-11-021924-1,Кумараге,,,,,
45,"Lander, Yury",lander-y,2010,Relativization in Shapsug Adyghe,Rice Working Papers in Linguistics. 2010. No. 2.,,Препринт,адыгейский,морфосинтаксис,https://publications.hse.ru/pubs/share/folder/zsa676dq3x/73217625.pdf,https://publications.hse.ru/view/73217633,to_find,,Кумараге,,,,,
46,"Герасимов, Дмитрий Валентинович and Ландер, Юрий Александрович","gerasimov-d, lander-y",2008,Релятивизация под маской номинализации и фактивный аргумент в адыгейском языке,"В. А. Плунгян, С. Г. Татевосов (ред.). Исследования по глагольной деривации. М.: Языки славянской культуры, 2008",290–313,Глава книги,адыгейский,морфосинтаксис,https://publications.hse.ru/pubs/share/folder/g202cwvqun/117938346.pdf,https://publications.hse.ru/chapters/95374364,to_find,,Кумараге,,,,,
47,"Ландер, Юрий Александрович and Сумбатова, Нина Романовна","lander-y, sumbatova-n",2007,Адыгейские отрицания,"Кавказский лингвистический сборник. Вып. 18 М.: Academia, 2007.",77–103,Глава книги,адыгейский,"морфосинтаксис, семантика",https://publications.hse.ru/pubs/share/folder/50q4r5tmeq/121889655.pdf,https://publications.hse.ru/chapters/121889659,to_find,,Кумараге,,,,,
48,"Сомин, Антон Александрович",somin-a,2016,"Долго ли, коротко ли: выражение длительности с помощью редупликации в бесленеевском диалекте кабардино-черкесского языка","ACTA LINGUISTICA PETROPOLITANA. Труды Института лингвистических исследований РАН / Отв. ред. Н. Н. Казанский. Т. XII. Ч. 1 Исследования по типологии и грамматике / Отв. ред. тома Д. В. Герасимов. СПб.: Наука, 2016",208–222,Статья,кабардинский,"морфосинтаксис, семантика",https://publications.hse.ru/pubs/share/folder/tutxmf5dq4/204052502.pdf,https://publications.hse.ru/view/194203045,to_find,,Ирина Кочеткова,,,,,
49,"Сомин, Антон Александрович",somin-a,2012,О двух случаях глагольной редупликации в бесленеевском диалекте кабардино-черкесского языка,"Полевые исследования студентов РГГУ: Этнология, фольклористика, лингвистика, религиоведение. Вып. VII. М.: РГГУ, 2012",227–244,Глава книги,кабардинский,морфосинтаксис,https://cyberleninka.ru/article/n/dolgo-li-korotko-li-vyrazhenie-dlitelnosti-s-pomoschyu-reduplikatsii-v-besleneevskom-dialekte-kabardino-cherkesskogo-yazyka/pdf,https://www.elibrary.ru/item.asp?edn=rneujv,to_find,,Ирина Кочеткова,,,,,
50,"Сомин, Антон Александрович",somin-a,2011,Вместо того чтобы слушать мой доклад: о субститутивных придаточных в адыгейском языке,"Полевые исследования студентов РГГУ: Этнология, фольклористика, лингвистика, религиоведение. Вып. VI. М.: РГГУ, 2011",245–256,Глава книги,адыгейский,морфосинтаксис,https://www.academia.edu/49626923/Вместо_того_чтобы_слушать_мой_доклад_о_субститутивных_придаточных_в_адыгейском_языке,https://www.elibrary.ru/item.asp?edn=rneupp,to_find,978-5-7281-1840-4,Ирина Кочеткова,,,,,
51,"Сомин, Антон Александрович",somin-a,2011,Система прошедших времён в бесленеевском диалекте кабардино-черкесского языка,"ACTA LINGUISTICA PETROPOLITANA. Труды Института лингвистических исследований РАН. Отв. ред. Н.Н. Казинский. Т. VII, Ч.3. Отв. ред. Д. В. Герасимов СПб.: Изд-во ""Наука"", 2011",438–443,Статья,кабардинский,морфосинтаксис,https://www.academia.edu/49504011/Система_прошедших_времён_в_бесленеевском_диалекте_кабардино_черкесского_языка,https://www.academia.edu/49504011/Система_прошедших_времён_в_бесленеевском_диалекте_кабардино_черкесского_языка,to_find,,Ирина Кочеткова,,,,,
52,"Сомин, Антон Александрович",somin-a,2017,Адыгейский язык,Проект «Язык дня» на научном портале Арзамас. 16–23.03.2017.,-,Веб-страница,адыгейский,"морфосинтаксис, фонетика/фонология, экстралингвистическое",https://arzamas.academy/micro/language/9,https://arzamas.academy/micro/language/9,to_find,,Ирина Кочеткова,,,,,
53,"Аркадьев, Петр Михайлович and Герасимов, Дмитрий Валентинович","arkadiev-p, gerasimov-d",2012,О конструкции холистической квантификации в адыгейском языке,"Вестник Томского государственного педагогического университета, №1 (116), 2012",22–29,Статья,адыгейский,"морфосинтаксис, семантика",https://www.elibrary.ru/download/elibrary_17687153_93932473.pdf,https://www.scinapse.io/papers/124887016,to_find,,Ирина Кочеткова,,,,,
